name,version,hash
r-cran-fnn,1.1.3-2,a0d83f3d51d17b1ce7ba5ca34151c109
libpulse-ocaml-dev,0.1.3-1+b1,9691842ae5fbac5f466e9b3dab820cdc
libsdl-mixer1.2,1.2.12-16+b1,af43b8b6696b71eaed43b7defc0d019d
golang-github-prometheus-common-dev,0.15.0-2,0e67707ce808abd04502123f01606c9d
libjava-allocation-instrumenter-java-doc,3.1.0-2,e567ffa19593cd8cbf1db4da5f12c7a7
r-cran-mvnormtest,0.1-9-1+b3,2f71d99284ca105bf3a8065c94344070
python3-ws4py,0.4.2+dfsg1-5,4a4c0cae95b8be54c0784fa7a70543b3
libhfstospell11,0.5.2-1+b1,2bf480ddcc38c735fef0d98fb2718a0b
libjboss-modules-java,1.11.0-1,b1c5bf214e7b5d37fc8a322502d563a0
node-is-descriptor,3.0.0-1,b56fa06a1dd51f5d5cb4173b15f67d3c
libtokyocabinet-perl,1.34-2+b8,0d6c8eed788c24629546872517623896
dict-freedict-ita-deu,2021.01.05-3,549e9cc2d979890fddecffa58cd60d0f
libstdc++-10-dev-ppc64-cross,10.2.1-6cross1,bc33ca0f87bb9c0d8cb4ccf191a6a61b
libjsr166y-java-doc,1.7.0-2.1,27ac0d5cb34dd35d9d97130eee74e372
ayatana-webmail,21.2.6+dfsg1-1,8e2df3c02a5515c605b08736be3a1a1d
librust-siphasher-dev,0.3.1-1,7e10885dec35214ed317d833f934c37d
ironic-doc,1:16.0.3-1,af53e9862742424772e6545f6003b96f
libapp-cache-perl,0.37-2.1,132ee1a8758f44ef138fe39f5ff69525
libsqlite3-mod-spatialite,5.0.1-2,923e2b421b24c99ba6b14553bb959ca5
libopencv-apps2d,2.0.2-3+b1,f1e61b6bdc66e5446a55efdaf2aa0b3e
lockfile-progs,0.1.18,9a37b36cb6a267dffd955beadb7d92b0
libgphobos1-mips64-cross,10.2.1-6cross1,ad6c1d327ba5a2848d8c1735bf202406
php-horde-mail,2.6.5-5,e6257c27c961b95f2f493eb597309877
qtwebsockets5-doc,5.15.2-2,745b8e015b58881e98b175abf03f2918
libusb-ocaml-dev,1.3.1-4+b4,e2952a9e1612f938ea0d185229791571
libghc-raw-strings-qq-prof,1.1-3+b1,f33ed6db6f72d0da66361d23d5a5b71c
libview-dev,0.6.6-2.1+b4,dc65c1e5cce6126afaaea49ffb156076
libhugs-stm-bundled,98.200609.21-5.4+b5,c133ffd28ad9d0ade2c04523f1b38c4f
libghc-attoparsec-iso8601-dev,1.0.1.0-3+b1,e725a955694ea11e504f05bb0d1d4df1
gobjc-multilib-mipsisa32r6el-linux-gnu,4:10.2.0-1,ccd59941d9bdd7f2050edff56575aa86
libfreecontact-perl,0.08-8,609cff3ae783ca39211bc9d6ca9862be
gniall,0.7.1-8,85d2f18c6d7fe488779a7c7e2f235d15
libjuniversalchardet-java-doc,1.0.3-1.1,d8631cecd6b8012ff8078fa107756deb
lazarus-2.0,2.0.10+dfsg-4,1c26a11e01b5ceeb680752e28fcee374
libsphere0d,3.3~a1-4+b2,548e9cf8dc69ab52ba2da4622f559286
libreoffice-help-km,1:7.0.4-4+deb11u1,a44e144051c4501aae70916bacf7561f
libghc-fclabels-prof,2.0.5-1+b1,35d41f9f83e0c584540aafaeaf4d83bd
libeegdev-dev,0.2-5,b2b77a61196adaeead510a2954d04bcf
lib32objc-9-dev-amd64-cross,9.3.0-22cross1,ecc999aef59d510d5d8e0f4fde0cc40d
mediathekview,13.2.1-4,c4d45bb47acad608ab8ad51c6727a27b
libnet-z3950-zoom-perl,1.30-3+b1,cb45f700f9d8e1af6b570d7beca6eed0
node-mermaid,8.7.0+ds+~cs27.17.17-3,c98a7724aa4769fa5f52351936a82606
librust-bytesize+serde-dev,1.0.1-1,e97b568ecd226f48967f01b838511569
dibbler-client-dbg,1.0.1-1.1,480122b1e132713f2d602595dd195510
awstats,7.8-2,e8a331377ebbc9fd2b5e9b4fae14c118
node-ini,2.0.0-1,a90cff26bc4d6132e7b9ed98db358d63
elpa-company-rtags,2.38-3,338537f42481169f2e8d5acccf0a5ad4
python-openstackclient-doc,5.4.0-4,975ea7f456594accc5ef73a7e83bcf1e
golang-github-juju-utils-dev,0.0~git20171220.f38c0b0-6,f9c9aba85d4d90871406328260fbbeb7
libstdc++-9-dev-riscv64-cross,9.3.0-22cross1,1525a8f267220c0bb9bee53f3a9eda2c
libballview1.5-dev,1.5.0+git20180813.37fc53c-6+b3,91bf8709462cd2a5a4244e49f5881d30
tcvt,0.1.20171010-5,48ac8e83813aee854c0b5b28f013b0af
python-pysam-tests,0.15.4+ds-3,a354448291a5c9fcda1d1da29386035a
gcc-multilib-mipsisa64r6el-linux-gnuabi64,4:10.2.0-1,f7f12d8eadb817c0a5c5a2fe4e8478f8
python-darts.lib.utils.lru-doc,0.5-5,0968bb2b685ab1b3f950368c2bd36c80
python3-pyscss,1.3.7-3,92f15a42ae42adbae0bab58f09851dd9
psurface,2.0.0-2+b1,1658d3777ac91b8e9fcc287a9a1874dd
uniconfd,4.6.1-15,d393cc26fe86521d5931932ea1048f4c
r-bioc-edger,3.32.1+dfsg-1,53021ae4b9b5263dfe53541b260c4592
libglide3,2002.04.10ds1-16,b1c511780560618eac9afbcd25cf5a7c
acme-tiny,1:4.1.0-2,ac1b4ca5faa1f71d8302c3fcbea2b6af
libdbus2.0-cil,0.8.1-2,23b578eb1c3832fa3f3a824034cc1388
libsfml-network2.5,2.5.1+dfsg-1,58b8106189f72f457a342364e8539a0c
qrazercfg,0.42+ds-1,d3385712705df021587b55a531ab81be
jsmath,3.6e-2.1,e0bfd4f4a473710dd5566d2e30943482
libmono-microsoft-visualc10.0-cil,6.8.0.105+dfsg-3.2,25a19dbbdd4748fb8b4983db36da47d5
artfastqgenerator,0.0.20150519-4,1b33c24d0c3c9c442cf48039183417c1
